Peak Time (s)
129.980
134.822
137.050
139.755
141.739
142.766
145.472
148.656
150.049
151.118
152.440
153.549
155.339
156.407
157.444
160.669
162.459
164.412
166.721
168.278
169.417
171.533
173.099
174.116
175.673
178.612
179.731
181.125
181.786
