Peak Time (s)
5.8548
48.3548
51.9048
64.1548
96.3548
105.6548
151.9048
156.8048
162.2048
197.0048
202.2548
226.7048
235.2548
241.6548
269.5048
276.5048
282.2548
307.5548
315.5048
332.5548
362.5548
367.3548
402.4548
418.2548
431.9048
438.1548
471.6548
480.5548
502.1548
524.7048
542.8548
556.2048
571.7548
586.4048
593.6048
629.6548
636.1548
646.8548
657.5048
679.9048
690.8048
705.0548
714.5048
718.8548
733.5048
749.6048
754.6048
760.2048
774.1048
781.8048
787.1548
792.5548
807.6048
817.9048
825.9548
838.8548
850.7548
869.0548
874.2048
881.3048
914.0048
940.9548
947.3048
993.1548
1190.2048
1200.0048
1225.0048
1232.3048
1238.7548
1271.0048
1295.4548
1306.0548
1331.0048
1354.3548
1370.9048
1391.9048
1418.9548
1425.2548
1437.6048
1445.1048
1468.7048
1479.0548
1485.9048
1510.9548
1515.1048
1534.0048
1553.9048
1572.8048
1591.1048
1600.0548
1613.4548
1624.1548
1649.5548
