Time, C050, C051, C052, C053, C054, C055, C056, C057, C058, C059, C060, C061, C062, C063, C064, C065, C066, C067, C068, C069, C070, C071, C072, C073, C074, C075, C076, C077, C078, C079, C080, C081, C082, C083, C084, C085, C086, C087, C088, C089, C090, C091, C092, C093, C094, C095, C096, C097, C098, C099, C100
0.5,-39115.98,-78129.42,25895.5,-57665.12,-54126.5,-51189.41,-81472.71,20371.07,-107435.9,-7154.512,-58477.11,1988.07,-79959.71,-80699.7,-61431.05,-117269.3,-88273.86,-110567,-40807.73,-42336.54,-93975.99,-62873.36,-60588.2,-20939.55,-99642.8,-41429.56,-106593,-45741.23,-63875.76,-78633.2,766.3706,-43563.46,-44582.87,-75222.74,-43121.48,-111111.7,2745.118,-36196.65,1868.348,36589.09,-56917.8,-18999.72,-5683.367,-26125.63,-106581.4,-86169.37,-110357.3,-97885.83,-93203.5,-89241.77,-80683.23
0.55,-49130.95,-78568.24,-1997.943,-71721.76,-54931.54,-52013.92,-79366.21,15726.83,-119958.7,7729.648,-68304.2,-15780.49,-93961.29,-79581.63,-76062.97,-112275.1,-99098.3,-120051.4,-58360.26,-40405.67,-121518.1,-70019.59,-78742.77,-30051.34,-109757.9,-24632.33,-113416.8,-64005.77,-105355,-100403.9,-5541.372,-42348.02,-16329.24,-94833.66,-38490.14,-111081.6,-15827.2,-40953.31,-34095.99,42822.74,-67312.85,-30076.37,-17501.08,-49890.13,-113384,-95503.97,-126230.3,-112749.1,-126890,-90651.48,-87622.59
0.6,-34313.32,-79320.31,20728.59,-82203,-64920.47,-50658.33,-80731.87,1196.163,-116803.9,-9154.084,-80881.12,-37595.35,-109879.2,-94809.26,-109517.5,-122223.9,-97109.27,-131319.1,-77306.02,-74435.95,-124228.4,-88726.45,-113285,-28785.39,-108392.1,-18866.42,-128398.8,-71099.05,-95928.71,-131148.4,9102.668,-61565.02,-55428.8,-103863.1,-45467.53,-116374,878.9158,-52579.27,-44677.14,42732.45,-75561.48,-14291.46,-24933.52,-37734.88,-143242,-106820.9,-134739.1,-114712.7,-127932.5,-98674.52,-70243.24
0.65,-48889.44,-87597.71,-14562.38,-76003.48,-78473.57,-53397.68,-107393.7,17084.07,-137521.7,-16696.96,-95013.77,-31748.46,-111627.1,-91166.02,-92334.94,-132548.8,-111153.8,-142856.4,-62270.8,-72644.08,-134598,-74126.02,-88212.7,-23028.78,-116846.7,-33560.74,-136815,-80788.53,-115438.5,-143499.6,-1751.637,-45300.02,-48104.87,-115701.8,-56424.07,-110828.5,8078.804,-49932.77,-52507.79,37009.72,-75173.34,-22001.51,-19273.59,-52206.21,-151153.6,-110665.8,-144368.7,-127444.7,-138920.9,-114166.8,-101695.1
0.7,-38389.17,-97841.37,-2528.262,-87965.08,-83167.06,-47174.25,-99639.34,6427.376,-143899.4,-12387.76,-101948.3,-20384.09,-97671.76,-99952.1,-103423.2,-110929.4,-117542.9,-126601.3,-81769.45,-95422.71,-125408.9,-71696.46,-95709.26,-26521.56,-117264.5,-41589.8,-130576.2,-60844.75,-110101.3,-133929.8,-11739.82,-43713.08,-34683.57,-109842.1,-43359.55,-137159.3,17522.58,-60124.35,-23452.38,39237.6,-71152.95,-23347.54,-4565.102,-72666.81,-149482.3,-97850.47,-142666.2,-115699.8,-142049.4,-102074.1,-94939.3
0.75,-47637.47,-110563.6,-22747.05,-82605.05,-102035.9,-52133.4,-94619.81,14683.82,-144583,-34424.9,-98954.09,-46647.78,-119674.2,-86561.94,-119770.5,-137179.6,-131673.3,-130267.4,-72004.27,-84166.34,-129845.8,-76956.21,-120788.7,-22035.04,-113984.3,-34525.97,-150908.4,-74750.87,-114838.9,-147606,-17676.61,-41797.99,-21700.08,-105601.6,-60169.03,-132092,15204.26,-58916.98,-57203.37,48301.62,-73729.84,-24507.92,-25743.25,-67049.8,-158409.9,-103339.3,-133963.1,-123927,-144102.9,-116007.5,-104174
0.8,-46694.73,-106053.5,-26713.58,-95641.87,-87194.62,-53486.93,-93380.74,-15552.41,-127552.6,-20791.39,-84969.21,-53706.17,-128940.5,-97001.19,-106544.7,-148821.6,-125149.7,-127708,-102053.8,-104834,-146918.7,-101852.4,-118086.5,-19385.08,-118815.8,-26854.11,-147489.9,-69442.31,-120798.4,-167723.1,-25796.53,-52485.06,-45955.7,-112694.3,-48066.45,-133448.8,18333.12,-61954.76,-60808.48,38848.43,-89616.69,-4436.648,-9142.572,-64867.81,-158149.2,-122026.9,-148414.3,-129641.1,-121453.9,-104388.6,-108212.5
0.85,-66555.66,-112663,-29628.68,-97780.27,-109959.5,-54078.88,-104657.3,14143.33,-139688.9,-24950.23,-99538.58,-48449.69,-134921.6,-90328.36,-121260,-133850.8,-127642.9,-149141.5,-89943.66,-101293.5,-141869.4,-84730.15,-123731.7,-27448.55,-134497.5,-35136.93,-171109.2,-82238.11,-117080.4,-153023,683.9794,-38001.01,-45068.09,-125302.5,-63163.14,-129756.6,6941.782,-88596.98,-55120.41,47235.84,-66426.08,-29009.07,-16232.79,-74315.69,-151108.7,-119495.2,-151282.5,-133983.4,-143483.4,-125740.5,-118603.5
0.9,-62409.76,-119510.6,-41879.18,-99676.49,-104162.4,-75647.87,-123991.7,10522.85,-146747.5,-42596.85,-134371.3,-49715.05,-116946.7,-109778,-130088,-145663.2,-128952.1,-129794.2,-95981.79,-107132.6,-141330.8,-101432.5,-128808.9,-26917.21,-137053.5,-35051.15,-169074.6,-64885.58,-116343.2,-177325.8,-7448.233,-25936.93,-46066.93,-121091.8,-56854.81,-139020,5383.673,-74314.42,-55748.07,39469.06,-71900,-13172.44,-23605.44,-68479.05,-165794.2,-105335.8,-155845.4,-128968.9,-151238.3,-120637.3,-119427.6
0.95,-79262.38,-115962.1,-38163.8,-103700.4,-88976.59,-72059.5,-127940.2,4072.872,-128937.4,-29597.34,-114408.8,-57883.08,-126330.7,-119009.6,-120700.4,-153733.9,-130474.4,-126705.1,-109937.9,-121303.1,-144278.7,-94286.92,-147862.3,-28236.09,-130356.1,-29135.72,-159299,-68115.06,-133409,-152005.6,-434.532,-37099.39,-41645.15,-136805.5,-48566.25,-149583.5,30600.6,-69078.7,-77279.38,33618.72,-62328.17,-36903.25,-15943.48,-80664.5,-174794.5,-123678.6,-131070.5,-124697.9,-161436.3,-123521.1,-101764.9
