Time, C050, C051, C052, C053, C054, C055, C056, C057, C058, C059, C060, C061, C062, C063, C064, C065, C066, C067, C068, C069, C070, C071, C072, C073, C074, C075, C076, C077, C078, C079, C080, C081, C082, C083, C084, C085, C086, C087, C088, C089, C090, C091, C092, C093, C094, C095, C096, C097, C098, C099, C100
28,-81506.42,-129742.3,-62086.85,-105886.1,-74655.4,-65213.74,-112559.8,52640.6,-106836.9,-33351.95,-107340.2,-97885.57,-132794.8,-95779.41,-121768.3,-137529.8,-146880.1,-113158.6,-85436.27,-84976.65,-121378.6,-136392.6,-142177.4,-4324.383,-132159.5,-23138.75,-134884.7,-43228.57,-103531.3,-144883,3310.082,-62591.74,-35967.17,-125830,-84980.77,-112161.7,-41927.14,-69713.6,-60345.91,-35049.11,-74305,-53963.18,-3680.5,-84713.63,-144229.9,-105906.7,-129125.8,-121350.8,-138747.4,-93244.01,-121508.7
28.05,-64352.82,-115877.3,-45384.44,-90136.86,-86036.29,-78997.58,-115249.6,39581.97,-113871.2,-40237.63,-94014.05,-79040.36,-111349.7,-83381.98,-133115.8,-133687.9,-167158.7,-123941.6,-92592.28,-107924.8,-132278,-114543.6,-147178.4,-17567.71,-131892.3,-27979.11,-141408.6,-61166,-123214.7,-153946.2,8871.326,-48429.17,-60177.37,-122965.3,-67911.3,-129895.3,-26131.06,-70155.26,-93655.06,4941.763,-89096.51,-55456.52,-21853.8,-79953.5,-158969.2,-100992.7,-129334,-144662.2,-156808.1,-121525.6,-122184.4
28.1,-76543.89,-124567.6,-66216.95,-78471.32,-75068.39,-62985.59,-109303.4,36120.91,-108436.8,-45390.41,-99443.17,-68746.54,-123915.3,-105622.8,-119216.1,-133441.4,-137495.5,-97682.71,-99742.49,-119029.2,-147162.5,-107629.7,-136195,-19496.16,-135357.2,-34366.79,-152820.5,-67649.31,-117450.4,-165888.2,7428.092,-44416.66,-52300.13,-118609.3,-59531.91,-123391,-23957.71,-74609.14,-71079.84,-21255.91,-69018.15,-48754.16,-15033.02,-83957.99,-165175.5,-95332.97,-145444.5,-131217.8,-143145.9,-101957.6,-98671.31
28.15,-57949.88,-108895.3,-55905.89,-98497.34,-58427.43,-56941.71,-94012.3,30455.92,-110915.1,-11795.97,-107898.4,-90105.78,-108318.9,-74682.5,-97258.34,-134275.8,-132398.8,-98688.41,-78825.32,-103827.6,-103182.5,-105330,-126757.3,-19144.19,-111868.9,-26520.03,-128540.4,-39926.03,-111052.2,-137875.4,-13303.32,-58946.56,-30159.15,-122809.5,-73678.92,-129570.4,-20461.12,-72438.1,-60217.24,-31260.63,-90727.75,-40294.71,-1483.037,-54541.57,-147454.1,-100424.4,-123484.6,-121558.1,-138857.1,-98640.58,-106346.9
28.2,-65740.41,-97754.38,-47720.04,-103109,-60283.06,-62227.37,-82702.8,25989.15,-101671,-48330.09,-112659,-63073.56,-116312.6,-89098.74,-94407.14,-119965.2,-124729.5,-86874.77,-59812.57,-105150.3,-135309.5,-108213.9,-99345.17,-32031.67,-77878.15,-13983.46,-127034.5,-36467.55,-101336.1,-117664.1,-13900.97,-84335.14,-53803.39,-110807,-61026.23,-96498.16,-22524.43,-68818.18,-67284.9,-38965.72,-55511.95,-36376.34,-21933.82,-80810.79,-129241.4,-92402.96,-111914.1,-97635.92,-117107.5,-91446.49,-101330.9
28.25,-65379.62,-118047,-60452.49,-83438.95,-74745.59,-53050.91,-90636.34,26019.35,-98475.59,-42101.45,-99564.27,-84982.53,-111020.2,-75453.55,-113861.5,-112381.8,-143032.6,-107513.2,-60156.38,-103376.7,-121099.9,-94263.3,-117611,-16567.41,-116257.8,-13728.99,-141079.8,-67089.73,-116060.7,-139941.9,-12478.15,-70905.73,-49633.69,-123263.7,-79202.1,-109943.6,-29297.98,-81598.77,-64356.97,-30475.31,-79199.09,-37462.29,-24175.41,-76670.8,-151976.1,-99614.17,-124120.8,-115798.4,-127041.9,-100896.7,-120329
28.3,-60091.83,-104720,-43415.43,-83241.16,-99487.81,-64575.16,-86933.1,38901,-103108,-36851.47,-78414.45,-69029.62,-82846.48,-85774.8,-128865.9,-126350.7,-136625.1,-93779.05,-74494.16,-98745.06,-114748.1,-104918.1,-97581.48,-17734.77,-93995.11,-37455.8,-119121,-51583.32,-128683.5,-142115.6,-556.9459,-52553.8,-42301.73,-110863.1,-67594.58,-107171.2,-23208.96,-64686.04,-56927.7,-14814.55,-60457.85,-37652.57,-8600.509,-83413.24,-143755,-90363.99,-113697.3,-111747,-129687,-116430.5,-122903.7
28.35,-49676.23,-84214.62,-32815.63,-69362.68,-60321.7,-35094.83,-99864.82,10678.45,-89224.3,-37626.05,-77670.6,-74525.54,-84283.36,-86785.8,-117754.4,-111913.2,-101780.3,-64987.05,-60155.99,-78013.98,-80936.58,-97738.59,-84376.42,-30189.14,-79190.18,-40255,-127581.8,-37092.45,-73199.25,-122294.7,-28109.8,-73239.27,-45115.38,-97390.73,-54872.78,-66545.3,-22308.82,-74852.89,-60712.76,-5399.456,-72956.72,-25040.33,-22613.59,-73196.68,-123740,-68090.1,-120523.7,-114130.4,-97912.55,-93033.55,-114218.4
28.4,-47677.33,-96956.97,-39998.45,-67640.41,-64261.83,-37076.64,-87718.22,21549.09,-101289.8,-27153.42,-95183.55,-70554.8,-92169.34,-88016.61,-108977.1,-97963.56,-105382.2,-96079.95,-60977.85,-82229.69,-83253.33,-82357.85,-85275.51,-30323.29,-65839.75,-29196.47,-128021,-58062.06,-91796.12,-111747.3,-16888.2,-73308.42,-33333.7,-100348,-71596.48,-79564.95,-21313.19,-82507.69,-56869.31,896.991,-65865.35,-32242.35,-20373.69,-73684.63,-117734.3,-82094.38,-116997.2,-122690.4,-110024,-114332,-104456.1
28.45,-52788.77,-94614.3,-18527.5,-81200.52,-76073.88,-34897.32,-71248.41,-6029.748,-99799.57,-27668.32,-75897.37,-86807.19,-86563.68,-107998.9,-111489.3,-78035.48,-96978.03,-97215.51,-59231.16,-77210.91,-84957.29,-105417.4,-101091.4,-31970.89,-80917.84,-38078.2,-126451.7,-36222.53,-89986.24,-114069,-31802.48,-57360.89,-29118.2,-84116.46,-89360.72,-87774.26,-46599.36,-60632.04,-59590.1,-16161.41,-66482.54,-52931.83,-28080.63,-59222.59,-133364.6,-94863.49,-101604.5,-114000.7,-95222.06,-115739.6,-132200.7
28.5,-65742.61,-90145.26,-26451.33,-69661.5,-70991.92,-32568.11,-88911.79,24529.06,-99901.27,-42345.63,-93647.13,-77485.1,-82018.42,-94537.01,-96767.82,-88641.19,-116470.1,-85645.02,-61632.59,-86595.21,-98459.87,-102249.6,-97117.22,-18146.37,-75958.18,-21241.49,-139637.4,-41853.63,-109877.7,-126857.4,8187.071,-48175.61,-55474.32,-95817.23,-75703.13,-102682.5,-18273.75,-46487.4,-44622.21,-4289.232,-82199.23,-49728.98,-12347.37,-76497.3,-137339.5,-85625.21,-102635.9,-103333.9,-103431.4,-124496.6,-114720.6
28.55,-46878.54,-91381.8,-41355.38,-86831.82,-60479.61,-39862.61,-87815.51,34320.26,-95790.97,-37269,-97076.73,-78985.04,-103426.3,-98605.57,-92664.59,-98450.67,-99988.52,-88624.79,-69772.2,-80420.67,-102209.2,-85583.38,-90406.16,-747.4292,-98001.78,-24638.06,-117582.4,-19250.53,-92618.3,-131670.1,-6328.496,-38755.98,-28319.19,-80341.05,-69979.07,-95890.14,-33123.06,-55074.17,-30336.11,-18517.38,-48730.74,-44459.66,-22145.63,-69556.2,-129553.7,-103199.9,-113818.8,-103998.6,-113064.5,-127323.7,-129503.8
28.6,-36880.53,-70435.75,-43941.09,-54022.4,-72211.68,-40173.27,-75425.35,10870.94,-102673.7,-35693.71,-86294.15,-69597.81,-104862.1,-91637.63,-93733.49,-94758.61,-81563.09,-83575.05,-66542.65,-81477.91,-107891.6,-61748.76,-78435.7,-17244.37,-84994.01,-24752.17,-115663,-43134.34,-101613.3,-126103.1,10615.65,-38748.63,-35909.62,-101450,-67257.81,-88956.03,-16061.46,-68337.45,-43735.96,-14493.6,-50249.51,-41501.22,-4081.457,-89109.77,-134334.1,-87324.29,-99145.73,-82020.75,-103545.3,-108763.5,-104288.5
28.65,-20974.06,-35827.95,-30243.41,-51135.46,-35874.64,-51719.86,-65410.3,27737.05,-85784.98,-18200.95,-76625.08,-53713.36,-76099.85,-76214.24,-106749.1,-77491.7,-69871.45,-84377.21,-55869.56,-74884.8,-93012.11,-49337.95,-95308.51,-15871.99,-73297.95,-24667.3,-108088,-25855.36,-83091.38,-115600.3,-7994.977,-25824.99,-43104.55,-82046.85,-60290.52,-75830.6,-21272.03,-60092.28,-39219.24,-30583.61,-29422.78,-40342.54,9842.939,-58743.16,-122453.1,-81392.09,-92111.96,-88840.03,-104440.8,-116900.1,-69946.43
28.7,-5312.488,-32803.31,-22388.38,-19474.39,-55329.72,-10115.2,-50615.72,48101.6,-80880.1,-13716.73,-72543.11,-36265.55,-49951.66,-57936.73,-67890.66,-48407.4,-87655.23,-80556.25,-38428.96,-75917.77,-89576.58,-42219.44,-64859.44,-5068.014,-72231.74,-10835.98,-102091.9,-33909.37,-73767.26,-80378.55,4434.647,-29964.2,-27624.6,-85403.06,-27774.92,-62205.48,-25415.66,-46752.56,-33871.13,-2085.854,-31091.95,-39058.35,-2174.342,-50006.09,-114469.9,-71618.91,-49705.91,-81590.06,-99630.92,-91666.34,-64673.89
28.75,-8338.382,-8928.953,-18348.7,-47723.52,-55338.91,-11834.51,-40067.67,16552.48,-74379.9,-24210.34,-74019.07,-35053.13,-70821.43,-63190.9,-73435.05,-59657.13,-64599.25,-69359.69,-44650.06,-58464.27,-62125.23,-41083.54,-39963.89,-673.5745,-71070.55,-27584.13,-80286.65,-27388.36,-70907.41,-71676.04,458.0299,-13809.27,-39693.89,-64778.86,-33997.15,-36483.93,-7510.485,-40332.58,-44506.73,-15612.41,-39706.83,-19597,-12195.75,-59076.55,-89832.45,-71420.72,-34375.61,-66925.69,-83898.35,-88575.88,-54823.26
28.8,-13086.04,-4205.22,-32151.82,-51244.06,-50552.86,-24080.61,-53044.45,20288.16,-70992.35,-29760.45,-70407.98,-24877.62,-66139.45,-39401.26,-88671.23,-39548.65,-65979.62,-69765.23,-44351.75,-68245.72,-58354.34,-4236.232,-72106.13,-8408.656,-58487.86,-11526.73,-80153.41,-29165.59,-33356.1,-84328.84,-5332.967,-16550.35,-18974.21,-68038.21,-47012.92,-45819.91,-7945.033,-38845.04,-31653.34,-1701.676,-17209.78,-15994.46,-4446.218,-65785.48,-99409.22,-55618.44,-40719.98,-60094.42,-80292.31,-86387.09,-55502.93
28.85,-23204.4,-27203.6,-21620.21,-31381.26,-58844.44,-14042.8,-54276.65,22231.03,-81673.17,-39417.77,-68322.23,-26462.29,-83684.12,-54704.84,-67098.68,-57502.88,-83211.62,-53410.79,-42004.92,-58895.6,-79869.48,-24500.85,-66017.07,-11719.61,-66325.42,4042.458,-88137.23,-35891.02,-54126.8,-80872.02,-8149.127,-17724.83,-27432.03,-87640.94,-34154.68,-49092.15,2468.916,-53945.45,-38484.29,-6037.334,-37019.26,-20359.2,-15415.7,-59881.81,-91989.79,-76788.98,-54282.62,-67483.76,-89887.55,-100029.9,-75566.2
28.9,-25750.78,-31984.83,-27845.87,-57607.07,-50018.14,-19299.03,-55312.45,1615.16,-74489.24,-15414.76,-96632.59,-29274.8,-70073.81,-53667.4,-93936.74,-54763.4,-86693.66,-68094.65,-56468.02,-82377.28,-74606.3,-34843.96,-47893.18,-9812.67,-78094.18,-6294.541,-82259.31,-26780.42,-66338.21,-86275.65,2187.006,-18525.96,-31515.64,-88925.15,-49852.32,-53781.18,11589.08,-50018.1,-29924.49,-13811.05,-13462.05,-31948.66,-11910.85,-55633.11,-102696.1,-55448.8,-79420.23,-63113.4,-102363.4,-77020.42,-50914.79
28.95,-27860.79,-6181.432,-31443.96,-46811.15,-60301.04,-48911.25,-63661.14,18343.45,-77981.95,-16445.48,-63451.56,-58269.51,-75607.26,-87227.71,-92707.86,-62707.45,-92878.91,-43012.33,-53008.21,-76881.21,-78635.94,-48314.5,-99959.5,-6435.215,-81823.33,-38790.8,-83990.9,-56984.26,-43854.8,-100855.9,19778.5,-5943.245,-29536.76,-63626.87,-58948.57,-27512.84,-6385.633,-22570.75,-49092.6,6376.579,-18113.47,-29101.88,-14395.08,-56068.98,-115043.5,-72406.51,-65999.85,-71035.05,-89888.2,-96314.49,-74449.69
29,-10712.49,-1321.703,-26214.42,-34572.58,-30308.9,-17645.24,-30158.96,35951.41,-57726.32,-14619.12,-40646.86,-39447.38,-61433.18,-62895.86,-72267.54,-51401.16,-66101.18,-47457.96,-48715.27,-56049.13,-59987.8,-49288.07,-35123.87,-5618.519,-74563.43,-10693.49,-66881.57,-42516.6,-64125.24,-73697.45,-11902.19,-9339.905,-1131.926,-64569.34,-36460.25,-41300.63,-21739.2,-18053.73,-27808.41,-9487.57,-18994.11,-29415.86,-23709.31,-48431.24,-71966.25,-72314.5,-64934.91,-40662.9,-75414.37,-76018.42,-45422.05
29.05,44871.01,54658.04,-11206.58,6164.282,-17413,778.8381,36660.72,-12791.67,-33307.92,-242.1451,-17576.39,-9666.437,-6962.417,-10398.95,-11726.95,-17828.76,-8466.294,17068.28,-22105.79,-25828.69,18406.23,13651.5,22607.29,-2754.085,4146.423,-3752.853,-12864.33,-1126.886,-22663.13,19896.88,-13572.81,7912.042,-1244.157,-11433.21,-1585.022,37905.83,10354.18,-2337.038,22342.48,5471.381,17437.85,10257.97,-13668.99,-32350.75,-14686.85,-7536.371,-15618.12,4970.814,-25136.17,-30481.12,32007.59
29.1,88155.16,95033.52,-11193.59,21011.78,44843.56,3706.017,54565.3,-13658.02,40120.52,22333.01,35367.49,-3617.152,45750.58,10958.1,5805.048,45805.01,52223.63,68636.41,24824.04,-4624.875,70291.83,37368.56,67175.75,26595.46,36632.12,17440.78,49711.21,34938.29,18056.96,75658.65,-13161.39,40406.81,21960.74,42988.3,30779.63,88748.98,10193.83,16405.11,29474.48,-24972.14,22513.62,11223.43,-16320.93,27753.99,39679.44,23216.42,21967.42,49745.77,48486.64,9460.644,58254.66
29.15,87542.7,106350.2,-13480.98,61095.45,33117.89,27411.39,96797.16,-5867.066,65668.5,-5188.463,33999.88,6131.153,36339.3,24618.72,50010.43,75397.7,29279.67,72008.71,22722.94,10584.91,56744.39,29211.37,85510.39,22576.14,44674.48,16738.7,38804.88,23879.98,37535.58,88253.56,-4219.338,77212.98,30061.28,33837.68,45151.41,87341.71,-7286.55,51720.93,31875.72,-38681.6,35155.68,-2795.969,-9667.301,15072.89,43666.55,31044.09,42156.4,49235.49,69496.66,-7129.331,70065.8
29.2,72871.35,115801.6,-2835.009,77358.85,41409.68,34487.58,115602.1,13747.09,86288.05,1655.239,70899.05,-13049.56,76981.25,4769.867,76596.97,102010.6,23429.07,95850.46,32413.35,41505.55,76180.54,50572.58,155771.9,22494.99,74097.07,4388.991,59324.52,34804.39,38998.02,137022,28455.76,105394.2,52700.91,54808,50643.42,106665.5,10402.37,52473.37,75671.79,-19545.38,23308.07,-24537.08,-16087.45,24033.06,52949.43,44679.27,54192.09,72272.32,61208.62,-33060.3,112674.1
29.25,104126.4,121344.6,1180.306,137594.1,28339.72,13040.6,160085.7,17757.56,118793.3,14404.23,125171.6,25696.95,92637.15,34362.74,103941.3,151484.3,48499.87,142224.6,49939.16,73249.91,101616.7,90580.22,143641.5,23821.43,127689.2,61.78533,67286.86,30998.72,52129.79,158214.9,46732.93,124820.3,40716.14,64631.45,75195.76,116236.8,6362.785,101138.6,80428.59,-846.905,60162.13,29669.11,-2734.565,55659.26,70421.52,101023.9,84009.47,100512.9,84485.6,-10175.36,87125.02
29.3,132059.9,107815.6,1150.957,109136.4,15760.94,12125.1,140640.9,37152.85,117663.2,14906.36,123212.9,8508.466,82519.13,22153.51,98367.77,147828.3,40814.42,130096.3,43759.93,45001.27,91310.03,101054.2,137293.4,63913.1,129484.6,-10267.35,74176.82,42919.34,46240.41,136433,32210.2,158002.5,52973.89,23746.69,92793.32,107942.4,6424.546,85183.71,68511.36,-1546.781,50431,-4576.632,6897.967,45999.11,68933.84,109634.3,67991.32,80043.45,76032.69,-19669.57,89324.18
29.35,114526.2,135647.2,2881.945,118110.9,52031.45,55749.59,152839.1,18217.19,119247.2,23042.92,112334.3,9085.575,104221.8,37811.12,101810.6,162185.3,45631.32,161216.2,59557.39,55399.27,111424.6,93535.09,129232,46315.05,139231.8,1461.856,93193.67,11941.1,47960.68,175135.4,40763.3,140279.4,45648.68,62882.48,97916.09,118355.6,19596.87,93540.45,72902.98,21335.73,42172.87,10274.09,7738.273,67535.34,76545.8,157735.9,122507.8,94743.16,91831.13,-6273.082,107271.2
29.4,156855.4,198674.4,19984.47,138095,78119.01,94425.63,187502.6,22312.95,193667.9,21896.75,148189.6,18448.89,150554.6,81352.2,149945.1,235560.6,126584.4,189570.3,89452.2,96984.88,161989.5,117889.4,163903.8,62397.27,230955.2,15892.23,169800.7,28515.5,89587.25,225468.9,41610.2,147515.8,74599.2,85214.25,131027.1,151978.8,4417.71,134370.1,103220.4,26417.72,82001.2,21769.99,27065.76,105785.2,117919,211248.3,141048.8,143928.5,138518.2,23623.6,143470.3
29.45,189298.5,235616.7,42215.57,202109.9,107165.2,104381.8,232477.5,23036.29,236329.6,48442.54,197467.8,43365.66,209570.1,131843.6,197491.7,288137.9,170916.6,215519.1,118069.9,119924.9,206543.8,137698.6,228257.7,73213.77,280335.6,73185.09,182575.6,48612.44,142034.3,270366.7,55197.65,173023.8,81987.56,140214.6,155032.2,209928.1,16452.27,178900.1,127974.5,23424.11,110300.4,933.9089,48490.55,166148.3,175307.4,246161.5,216983.1,173882.4,180553.6,44951.52,155117.4
29.5,200674.6,251846.4,61009.97,217629,139665,121763.2,281909.8,33971.3,264132.7,63262.11,210284.6,76582.72,247811.5,165895.3,245878.3,366894.1,227969,244277.1,130674.3,167560.4,254767.6,167352,263161.8,75451.15,295317.1,71217.99,255939.2,67752.52,146264.9,329188.1,62746.95,213915.7,92459.77,145173.6,171510.1,231183.1,24632.01,199570,153485.4,44059.57,116607.9,7796.526,68546.5,164515.1,204348.2,276038.7,260215,221716.3,224770.5,69856.52,193720.6
29.55,225264.9,280664.3,80052.94,263655.9,146210.4,132325.1,291506,37421.93,320553.3,87947.28,235920.2,65321.29,273154.7,170638.7,287205.8,385388.3,243737.3,274392.4,168770.2,183861.4,236327.2,196525.4,255243.9,88234.39,347043.9,104672.8,284126.9,65868.87,148026.4,346458.7,73878.27,205516.9,113501.1,154570.8,185381.8,273337.1,30205.65,207647.7,167045.2,52266.44,160570.3,7482.789,86103.23,197535.1,232979.3,298087.1,301033.8,228752.7,245196.3,73124.31,210601.7
29.6,246486.2,286363.3,62186.15,266892.4,150855.3,133228.2,303647.3,36196.16,332475.4,91081.55,242846.5,61879.77,286513.4,193960.6,266086.1,398479.1,251776.2,308791.5,175382.3,192317.6,279298.6,206189.8,283347.5,93851.1,349111.8,131252.1,313883.1,73850.09,195768.3,333695.7,24935.21,225568.2,116428.8,178906,206845.5,283277.2,11740.46,230773.5,178706.3,65638.7,160571.1,20236.56,93356.07,171881.6,256186.8,308413.9,295339.3,219717.5,247773,87495.76,188613.5
29.65,242156.8,276699.5,78528.53,277950.9,162008.1,115139.2,285349.2,43622.23,334218.9,102044.3,267972.1,62215.26,277671.2,228362.4,272096.5,383130.2,244269.9,300299.7,186948.3,171706.1,283208.4,180154.9,279163,83007.38,357896.5,145689.1,323314.9,67470.05,205344.6,354262.9,11494.37,206532.5,83372.91,176288.8,216820.1,284243.3,10264.9,199685,196535,59161,161848.3,20988.18,104669,192754.8,235590.7,299801.5,282886.7,252370,254322.3,84719.94,218410.3
29.7,217369.5,285268,82635.05,274473.4,165311.5,121830.8,260233.7,85063.65,329837.3,109594.7,256552.4,93528.04,299657.2,231163.7,265825.7,375489.8,255587.1,302568.3,209475.6,195036.2,273390.6,177085.1,307538,109067.5,362437,146185.3,308671,86187.84,189737.8,341466,36487.16,180676.1,115383,173098.6,218495.3,283192.4,6803.022,201966.4,191636.1,61772.92,137818,31195.11,96053.91,209425.8,235291.3,267751.4,300656.5,238248,243249.3,96950.41,218883
29.75,220543.5,296106.3,89430.27,266070.9,177125.4,111288.1,267874.1,56133.02,347344.8,92698.14,244464.7,78441.28,275601.9,223052.6,218153.6,369227.2,283952.5,288575.8,207632.8,193426.5,252047.5,184278.5,290798.8,82199.63,357472.5,146132.7,302447.9,87499.84,201394,348201.7,25586.75,172910.8,112283.7,168206.3,204405.7,282130.2,10064.31,178480.3,180223.1,32397.87,172455.7,29237.17,121130.2,190356.5,264893.6,266193.1,269653.9,236661.8,269154.5,124895.4,211237.1
29.8,228256.3,312181.6,89473.34,239957.1,166553.6,117175.3,225954.7,29941.68,329881.8,89721.22,219136.5,73677.08,251803.5,214771.9,213499.8,318128.7,280210.4,292049,218790.2,186367.3,268641.3,211248.1,275031.2,88955.97,350524.3,130900,298556,75034.02,181186.3,327391.4,24843.78,176587.9,116903.1,152073.4,212107,258206,22025.69,157821.3,160317.3,12988.62,149724.4,46860.9,103678.6,185922.9,246487.8,253835.9,290104.9,245727.2,267610.5,132415.7,205218.9
29.85,212340.8,334148.1,95885.48,239835.8,186104.8,147481,225841.1,55952.28,334144.6,102638.6,189613.5,92720.48,238651.1,235091,180760.8,319833,274870.9,290522.3,215716.1,170997.3,256489.5,195606.6,272641.6,96770.06,341608.9,140827.8,287146,95218.52,204001.3,324443.5,14623.77,136374.9,94746.91,157279.4,208479.4,256115,-7821.566,139737.7,166191.2,48409,147292.2,61961.25,108408.6,169093.8,222898,246841.8,267628.1,248607.9,236559.2,150475.8,217343.9
29.9,240376.6,338731.8,88995.28,222518.4,169691.8,123810.5,211431.1,77581.88,327478,94131.34,191805.4,95724.2,233603.4,254478.4,166786.4,321557.1,281674.6,275224.4,219552.3,151576.6,261513,186504.1,269948.2,96893.16,327412.1,145997.9,293685.3,127182.5,175544.6,300067.8,7147.15,140826.9,103076.2,159537.2,199134.1,246370.5,573.7032,149399.2,181917.3,57969.46,154416.8,69836.21,110347.8,189842.5,233458.5,209742.7,262991.4,246816.3,249131.3,168191.6,214811.4
29.95,227287.8,348677.2,108182,229524.2,169028.7,150339.6,222115.6,82396.3,327436.2,135845.7,214363.3,104278.9,274824.1,275109,175425.2,297523,296841.3,297191.8,226627.8,177871.8,267741.4,211374.2,301315.3,102202.1,343599.7,148376.8,313926.3,142377.3,199695.5,338224.9,9477.554,136302.8,102778.7,182166.1,206102.3,255468.9,11282.47,150926.4,189817.6,33177.88,163618.5,65367.59,112081.1,223913.5,254002.9,228944.3,258850.5,286437.8,243351.8,193500,243832.5
30,240950.4,360481.8,106075.5,229732.4,194797,156989.3,232521,70244.85,335940.8,125548.1,212136.3,114802.4,281784.2,277604,187853.4,302265.1,318218.3,319288.6,237118.8,178246.1,285352.3,183437.5,320498.8,101263.6,347600.1,147444.6,323376.3,166327.9,228668.8,352435.3,3446.84,146305.3,105729.1,195233,233013.7,284173.7,13967.93,169145.8,193470.4,46372.14,158045.9,107329.2,126734.1,239737.5,268283,227463.5,277952.9,292756.3,252200.1,209297.6,252354.8
30.05,249591.9,372664.9,112751.4,258844.5,230440.7,143614.8,249744,56041.14,344972.6,144091.2,254602.7,107160.6,309528.9,287233.3,206265.7,325880.8,343873.8,314266.1,280980,222032.6,310174,197664.9,348872.8,107340.3,367928.3,165239.3,361706.6,201906.3,235169,361348.8,-16706.85,155448.4,133022.2,215534.1,224312.8,293847.5,10994.61,182378.2,215047.7,44703.28,145543.2,112802.2,108062,243420.1,277691.7,227334.2,304386.4,318205.3,304950.3,220934.7,247060.5
30.1,253352.8,373628,97237.7,267469.5,264357.9,142798.2,239671,37572.18,346307.2,124882,247016.4,143716.2,307414.4,294885,213088.5,342504,355308.7,318675.3,274764.6,183681,312632.3,193142.9,310509.2,107729.8,367276,159200.1,364997.9,196830.5,270970.7,355825.3,-11631.56,127599.5,97938.9,236055.5,244887.7,310781.8,23812.71,142179.6,195955.9,37921.89,156615.3,130233,126108.4,232279.8,289956.5,229766.3,302830.9,330203.8,293469.1,264184.7,264310
30.15,259746.3,371195.5,78439.2,267678.8,254408.6,160571.4,245784,37980.21,363785.7,115901.7,269411.1,143201.2,325191.9,288251.7,198659.9,326311.4,349632.6,302477.4,262193.4,228018.8,332621.6,206721.6,363237.2,97254.19,364805.7,164806.3,366985,190401.7,267104,358610.6,-2102.734,155369.2,144111,212955.7,250500.1,285437.8,32063.44,132921.9,186682.9,48971.33,165217.9,149957.6,91620.03,246822.4,273445.8,234762.8,294736.8,309935.2,294910.2,263659.1,260322.2
30.2,245916.4,382967.1,96830.02,244264.5,262546.8,157798.4,219481.3,36838.39,353524.9,129056.8,275500.6,128951.9,321242.2,295397.5,207800.7,307626.1,350400.2,303577.8,263021.9,233387.1,322475.3,212395.5,356641.3,85794.71,385351.1,152186.6,385218.6,210718,264718,353237.4,-4932.147,123036.3,145035.6,238331.6,255569.9,283868,-8528.116,122041.8,202917,1709.511,168986.7,143135.3,95727.3,212797.8,300802.2,237601.7,305042.2,329778,318565,293568.9,277949.8
30.25,241577,364450.2,110442.1,265075.4,259131.7,145712.1,242422.7,41048.98,336772,136761.2,280396.8,141261.5,298458.2,278196.9,209215.3,290296.8,375738.4,285134.1,275190.4,251704.5,328478.3,219499.2,379570.3,89506.13,402508.5,164923.3,365399.2,206436.1,280385.1,360731.2,-9106.884,133057.4,113296,248565.1,233964.3,271678.7,20034.3,126536.1,213011.6,10524.31,170683.5,124179.4,81861.82,233660.5,318060.4,228856.4,300756.6,317563.3,320206.4,282507.7,279020.7
30.3,213379.7,382550,99571.45,247958.6,268189.2,161017.2,227918.3,19114.87,360710.5,153986.8,259202.9,117489.7,299606.6,289142.6,210817,303351.3,401534.6,302058.2,307018.4,275792.6,361063.2,207610.5,384813.8,91541.11,431087.5,161160.9,387915.6,213263.7,305120.6,340855.7,-11790.57,149105.7,122196.4,230667.7,242361.3,286593.1,5135.877,137040.3,216087.5,4827.016,169113.6,143804,88694.2,257963.2,336364.6,231723.2,329400.3,343516.8,344772.1,303578.2,290482.2
30.35,249878.2,387481.3,139142.6,302426.5,265607.2,182274.7,222895.5,69834.38,360332.2,179360.1,299703.3,143433.1,298168.2,336237,206548.6,302351.5,449100.2,294136.5,337161.1,247759.1,334418.3,182523,396770.5,94737.59,437764.9,163912.6,354149,221148.2,335417.9,336926.2,-9094.006,149955.3,159212.9,272309.2,209579.5,289613.9,9713.639,148728.4,208972.4,32509.93,184417.6,194571.7,94285.05,251235.9,323607.4,196565.8,303963.2,347253.3,360927,312779,300997.8
30.4,249007.3,399603.3,130836.8,269822.9,248831.1,208525.1,226108.9,79553.18,350514.3,161331.6,260164.9,152728.1,300525.2,332415.4,206465.5,307627.4,474351.6,304297.4,335112.2,285212.1,347062.3,229665.8,416766.6,89323.98,460004.3,152521,404681.7,201247.5,287914.5,337409.3,1860.194,162580.5,107717.9,262184.7,244285.7,289069.1,13762.53,132571.3,229247.2,3669.396,165512.2,158502.8,99686.17,265863.8,338411.2,190440.8,331251.9,328016.4,357057.4,283370.5,292120.7
30.45,257074.8,392949.4,146345.7,275392.5,248693.5,175917.9,219966.5,48426.32,344004,164360.5,243715.7,169226.9,284768.2,329033,195746.5,281883.4,465364.8,276002.4,302932,229562.8,367941.2,201441.3,404569.9,72739.66,460192.9,136368.3,363573.6,170903.5,312059.7,342836.3,-34461.59,147219,154628.6,256277.2,239400.4,265975.5,16861.36,157908.5,238636,-4649.157,186806.1,156060.7,81281.68,265156.4,350478.3,215452.9,311989.3,338308,318970,280885.8,268375.1
